                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.6811,                 3.2634,                 1.3839,                 1.2466,                0.63117,                0.64098,                0.64485,                0.34682,                0.62811,                0.64153,                0.64299,                0.30239,                 1.4757,                 2.1823,                 1.1649,                  1.165,              9.538e-05,              9.538e-05,              9.538e-05
                     23,                 1.6716,                 3.2645,                  1.372,                 1.2423,                0.61864,                0.63675,                0.63494,                0.34283,                 0.6264,                0.64228,                0.64272,                0.30128,                 1.4728,                 2.1809,                 1.1749,                 1.1668,              9.516e-05,              9.516e-05,              9.516e-05
                     24,                 1.6695,                 3.2691,                 1.3705,                 1.2422,                0.63903,                0.65724,                0.65877,                0.36182,                 0.6463,                0.65483,                0.65866,                0.31411,                 1.4571,                 2.1283,                 1.1217,                 1.1591,              9.494e-05,              9.494e-05,              9.494e-05
                     25,                 1.6615,                 3.2496,                 1.3661,                 1.2398,                0.61925,                0.64195,                0.63976,                0.34765,                0.62951,                0.64318,                0.64267,                0.29852,                 1.4692,                 2.1795,                 1.1625,                 1.1657,              9.472e-05,              9.472e-05,              9.472e-05
                     26,                  1.667,                 3.2692,                  1.366,                 1.2409,                0.62066,                0.65008,                0.64637,                0.35465,                0.62932,                0.65138,                0.65348,                 0.3104,                  1.463,                 2.1216,                 1.1526,                 1.1605,               9.45e-05,               9.45e-05,               9.45e-05
                     27,                 1.6561,                 3.2551,                  1.357,                 1.2363,                0.64534,                0.64878,                0.65599,                0.35784,                0.65382,                0.65366,                0.65967,                0.31194,                 1.4699,                 2.1174,                 1.1101,                 1.1633,              9.428e-05,              9.428e-05,              9.428e-05
                     28,                 1.6562,                 3.2509,                 1.3529,                 1.2373,                0.64358,                0.63512,                0.65382,                0.35809,                0.65757,                0.63707,                0.65646,                0.30762,                 1.4745,                 2.1425,                 1.1151,                 1.1697,              9.406e-05,              9.406e-05,              9.406e-05
                     29,                 1.6511,                 3.2442,                 1.3503,                 1.2341,                 0.6277,                0.64065,                0.65152,                0.35747,                0.63543,                0.64065,                0.65469,                0.31034,                 1.4755,                 2.1385,                 1.1214,                 1.1709,              9.384e-05,              9.384e-05,              9.384e-05
                     30,                 1.6485,                 3.2446,                 1.3454,                 1.2345,                0.63094,                0.65333,                0.66004,                0.36164,                0.63782,                0.65333,                0.66218,                0.31693,                 1.4774,                 2.0979,                  1.106,                 1.1697,              9.362e-05,              9.362e-05,              9.362e-05
                     31,                 1.6377,                 3.2356,                  1.335,                 1.2313,                0.63418,                 0.6439,                0.65994,                0.36239,                0.64503,                0.64886,                0.66643,                0.31733,                 1.4768,                 2.0837,                 1.1045,                 1.1709,               9.34e-05,               9.34e-05,               9.34e-05
