epoch,loss_train,loss_val
1,0.0573261069053322,0.0190247402836879
2,0.0208736995263033,0.0095100680318398
3,0.0126557911418227,0.0088675861987165
4,0.0099059272342133,0.0085979304395807
5,0.0091637929992722,0.0082257701060137
6,0.0086770728431865,0.0079638964424912
7,0.008356717667096,0.007799081552105
8,0.0081501780049045,0.0076886146592024
9,0.0079997494986933,0.0075141510759026
10,0.0077463905253042,0.0071223249348501
11,0.0075409194300015,0.0068317729717072
12,0.0073805037098431,0.0066611032622555
13,0.0072545591768104,0.006486997497865
14,0.0071145358013724,0.00630865788135
15,0.0070208034663899,0.0061650584117533
16,0.0069378262360244,0.0060233798904869
17,0.0068519063473129,0.0058749896856263
18,0.0067778812414766,0.0057346068728619
19,0.0066965494632872,0.0056008789927149
20,0.0066273524146444,0.0054971562841763
21,0.0065569388191071,0.0053819252464633
22,0.0064941186721733,0.0053910589538132
23,0.006441783210524,0.0052500629188636
24,0.0063708856091929,0.0051695611805487
25,0.0063128522547933,0.0050760148308024
26,0.0062436781628821,0.0049959830820369
27,0.0061958295988561,0.0049525797008894
28,0.0061593938784119,0.0049301768676974
29,0.0061075423304928,0.0048080942211433
30,0.0060554982791017,0.0047531079691954
31,0.0060190818048947,0.0046668792776285
32,0.0059631503921163,0.0045923150669878
33,0.0059165262476609,0.0045575080618548
34,0.0058731883994426,0.0045112546604986
35,0.0058541420143548,0.0044664857455362
36,0.0058222493236524,0.0044097929882506
37,0.005773170034517,0.0043441293737254
38,0.0057527932025235,0.0043722579840761
39,0.0057247378057837,0.004297577877505
40,0.0056708465919674,0.0041892464833859
41,0.0056519459013227,0.0041892422924343
42,0.0056248912698731,0.0041574169045839
43,0.0056102198773842,0.0041380325236763
44,0.005578182763868,0.0041273690712375
45,0.0055539004590168,0.0040496294625485
46,0.0055062939295346,0.0040427544393027
47,0.0054977162554531,0.0040053485725552
48,0.0054873819602694,0.003997821563807
49,0.0054529898661038,0.0039606580021194
50,0.005440655314435,0.0039601012980804
51,0.0054116550247724,0.0039380946172735
52,0.0054177369306723,0.0039622309343077
53,0.0053816213110578,0.0038918092405089
54,0.0053615609257065,0.0038623651847816
55,0.0053340039275165,0.0038381822060984
56,0.0053143880094935,0.0038402399872071
57,0.0052922093408101,0.0038411036277046
58,0.0052992845947105,0.0038651367052434
59,0.0052830690714478,0.0037971432619274
60,0.0052606032545606,0.0037881820223843
61,0.0052481710911619,0.0037749707877922
62,0.0052409949938504,0.0037814082506184
63,0.005210053637239,0.0037432617137733
64,0.0052030627315309,0.0037164537367434
65,0.005175914032391329,0.0037160479905418097
