epoch,loss_train,loss_val,th_best,best_fbeta
1,0.4322563735927854,0.2191857091956219,0.01,0.0773357599973678
2,0.2444592109109674,0.1988956101112446,0.03,0.0967373326420784
3,0.2297679193956511,0.1991712346167887,0.02,0.1060684323310852
4,0.2138249185681343,0.1750213833431066,0.06,0.1484900414943695
5,0.2057385712649141,0.1660633200811127,0.13,0.184905469417572
6,0.1961898412236145,0.1640573657922825,0.0699999999999999,0.2029156535863876
7,0.1929542886572224,0.1598856981401726,0.0999999999999999,0.2154153138399124
8,0.1902129065990448,0.1575644266302302,0.11,0.2144959419965744
9,0.1865960686866726,0.164369924720061,0.06,0.260660320520401
10,0.1787526973124061,0.1550091737407748,0.25,0.2920593619346618
11,0.1746090348916394,0.1431237816558045,0.26,0.3236302435398102
12,0.1675537165786539,0.1403108471530978,0.24,0.3404125869274139
13,0.1655060112689222,0.1728549855998007,0.03,0.2062009871006012
14,0.1602329359735761,0.1337169434054423,0.28,0.3673155903816223
15,0.1550377191816057,0.1261988378177254,0.25,0.4149790704250335
16,0.154796270972916,0.1373996298949597,0.39,0.4149830341339111
17,0.1479844134726694,0.121623718637531,0.22,0.4424811601638794
18,0.144555913348283,0.1203609903232525,0.21,0.4500268399715423
19,0.1413941744395664,0.1217107986242084,0.32,0.4575512409210205
20,0.1406456046445029,0.1198252834758516,0.31,0.475568562746048
21,0.1351345675970826,0.1155311345296391,0.16,0.4880615770816803
22,0.1336213026515075,0.1094093241302643,0.26,0.5081539750099182
23,0.1302847914504153,0.1308252168661457,0.49,0.4980612993240356
24,0.1287285875422614,0.108703928541834,0.25,0.4923818111419678
25,0.1259336408334119,0.1053574950260631,0.22,0.5274436473846436
26,0.1241880517878702,0.1031573803116709,0.2,0.5463521480560303
27,0.1218564091516392,0.0986875663748232,0.36,0.5622495412826538
28,0.1200934981022562,0.0960204188348883,0.24,0.568759024143219
29,0.1150046415414129,0.0970804732356031,0.27,0.5625215172767639
30,0.1121584414584296,0.0945535890631756,0.29,0.5688117742538452
31,0.111599595355136,0.0929667750152491,0.33,0.5855130553245544
32,0.1090487680371318,0.0982695293881125,0.26,0.5414721965789795
33,0.1074723641893693,0.0905840638077865,0.33,0.5842633247375488
34,0.1117467961779662,0.0917338949265116,0.37,0.586455225944519
35,0.1045114589908293,0.0968546151357182,0.27,0.569049596786499
36,0.1045490981957742,0.0855549983048843,0.34,0.6053394675254822
37,0.1033152702770062,0.087918366542307,0.39,0.6035695672035217
38,0.1013738093312297,0.0850664702070466,0.35,0.6225037574768066
39,0.0979570706295115,0.0884350432809126,0.37,0.6232922077178955
40,0.0976145591214299,0.0886505127458249,0.37,0.6060764193534851
41,0.0950045949965715,0.0874961321005376,0.43,0.612013041973114
42,0.0983353832364082,0.0840554058046664,0.41,0.6243613362312317
43,0.0969183504900762,0.0812177963996842,0.3,0.6402724981307983
44,0.0936492100730538,0.0790276468684107,0.35,0.6459736227989197
45,0.0931954209027545,0.0847736795953774,0.36,0.6271588206291199
46,0.0914147906005382,0.079354211119777,0.4,0.6368473768234253
47,0.0897555557372314,0.0809370548290721,0.39,0.6381206512451172
48,0.0883091464212962,0.0895869395995544,0.45,0.610700786113739
49,0.0900926101260951,0.0874004478298001,0.43,0.6316486597061157
50,0.0886867030497108,0.0770386957516104,0.29,0.6414657235145569
51,0.0836263000645807,0.0765290779329962,0.36,0.644392728805542
52,0.0876149796002677,0.0762928809528633,0.36,0.651170551776886
53,0.0880768619105219,0.0815302535449549,0.51,0.6217401027679443
54,0.0814352314120956,0.0762594654145887,0.47,0.6633352637290955
55,0.0840289271622896,0.084936828368296,0.52,0.6344321966171265
56,0.0807776703153337,0.0816330270115601,0.39,0.6237491965293884
