epoch,loss_train,loss_val,th_best,best_fbeta
1,1.014924310360636,0.7746594548225403,0.61,0.1056351587176323
2,0.6940360009670258,0.4516637895969634,0.4,0.1037575006484985
3,0.3767979965678283,0.3129931723183773,0.28,0.1506898403167724
4,0.2610122262899365,0.2250217655871776,0.19,0.1809160411357879
5,0.2142975490008081,0.2012682420776245,0.16,0.2030128687620163
6,0.1970399879717401,0.182019903780298,0.15,0.2144350707530975
7,0.1847402054816484,0.1704046819755371,0.15,0.2360632568597793
8,0.1767753717622586,0.1612403839826584,0.15,0.2628233432769775
9,0.1708941140345164,0.1553097625679158,0.12,0.2973167300224304
10,0.1652432819828391,0.150502565693348,0.21,0.3339097499847412
11,0.1614905354167733,0.1437064523392535,0.2,0.3625743091106415
12,0.1567947987733142,0.1339618749123938,0.15,0.4010647237300873
13,0.1522869669965335,0.1327059086649976,0.13,0.4108136296272278
14,0.149230888738696,0.1238551599548218,0.22,0.453395813703537
15,0.1449888845639569,0.1195464392608784,0.21,0.4743408262729645
16,0.1406027233228087,0.1164892812041526,0.18,0.4905350506305694
17,0.1389106171737824,0.1156828311529565,0.2,0.486163318157196
18,0.1355305476513292,0.1102100380874694,0.29,0.5138458013534546
19,0.1319504918929721,0.1100202470700791,0.37,0.5173168778419495
20,0.1304275565913745,0.1054780411117888,0.34,0.5346642732620239
21,0.1264427773255322,0.1107607666957885,0.37,0.5381572842597961
22,0.124582254620535,0.1059952505884018,0.33,0.5398769378662109
23,0.1244744837683226,0.0982252839714922,0.27,0.5656048655509949
24,0.1212169870468122,0.1004721970158688,0.39,0.5732875466346741
25,0.1172230076710028,0.0965850067899582,0.3,0.5706921219825745
26,0.1172896635452551,0.1018415724343441,0.45,0.5697544813156128
27,0.1143327784857579,0.0922284707268501,0.4,0.5980645418167114
28,0.1122644707560539,0.0957363576013991,0.2,0.5861941576004028
29,0.1121083770213382,0.0968493596511952,0.44,0.5915973782539368
30,0.1084783424357218,0.1063225784517349,0.39,0.5697872042655945
31,0.1094098095382963,0.0942495321022703,0.4,0.5939255356788635
32,0.1060851062647998,0.0880597446985701,0.41,0.6201300621032715
33,0.1052954735500471,0.0879168621403105,0.33,0.6134930849075317
34,0.1037481252503182,0.0957962686711169,0.52,0.6090668439865112
35,0.10256993290303,0.0840237150166897,0.35,0.6314546465873718
36,0.1029507988132536,0.0868433683793595,0.41,0.6214138269424438
37,0.1028631978269134,0.0875136332308992,0.36,0.6281148195266724
38,0.102417458061661,0.0847312104987337,0.45,0.6271329522132874
39,0.0999864833296409,0.0823759965281537,0.38,0.634821891784668
40,0.099361456025924,0.0838261085780377,0.35,0.6371595859527588
41,0.0961612112820148,0.0827593540257596,0.38,0.6299293637275696
42,0.0976207606627472,0.0829772231902213,0.33,0.637431263923645
43,0.0972104665025004,0.0964711407556178,0.59,0.6332341432571411
44,0.0956875944377056,0.0793186338975074,0.41,0.6457496881484985
45,0.0950679847305374,0.078352438563362,0.42,0.6427605152130127
46,0.0947253294289112,0.0854385772601087,0.43,0.6368832588195801
47,0.0930055158744965,0.0809563612367244,0.34,0.6415717601776123
48,0.0947971121807183,0.0786687084969053,0.35,0.644505500793457
49,0.0924471010853137,0.0806485385178251,0.41,0.641862690448761
50,0.0918838072302086,0.0794684451786761,0.33,0.6457332968711853
51,0.0908514958673289,0.0771914537441223,0.4,0.6503286361694336
52,0.090185631226216,0.0776167526207071,0.4,0.6566436886787415
53,0.0871143154932984,0.0734699816304318,0.38,0.6644453406333923
54,0.0872853778701807,0.0740634102295053,0.34,0.661704957485199
55,0.0890553574277354,0.0773532386631407,0.43,0.6578400731086731
56,0.0857498150451907,0.072589608503783,0.33,0.6647855043411255
57,0.0862454683120761,0.0738109733830107,0.4,0.6627326011657715
58,0.0856009694880672,0.0735895130387012,0.4,0.661577582359314
59,0.0841487299118723,0.0709677937817066,0.35,0.6756777167320251
60,0.0856068923204605,0.0802624809773678,0.5,0.6590545177459717
61,0.0855458112699645,0.0714370179525081,0.41,0.6693072319030762
62,0.0825870836153626,0.0760248571317246,0.48,0.664878785610199
