                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6251,                  4.134,                 2.0624,                  1.272,                0.48663,                0.45626,                0.42317,                0.17684,                0.39453,                 0.3522,                0.28009,                0.09232,                 1.8715,                  3.201,                 1.5824,                 1.1075,               0.066712,             3.3321e-05,             3.3321e-05
                      1,                 2.3946,                 3.9079,                 1.8432,                 1.2098,                0.53372,                0.50667,                 0.4876,                0.21345,                0.51919,                0.50341,                0.48089,                0.19347,                 1.7866,                 2.3312,                 1.3932,                 1.0941,               0.033411,             6.5335e-05,             6.5335e-05
                      2,                  2.296,                 3.8018,                 1.7465,                 1.1887,                0.56383,                0.56748,                0.54881,                0.26636,                0.50824,                0.50797,                0.47163,                0.18329,                 1.6295,                 2.1594,                 1.2336,                 1.0599,             0.00010812,             9.6028e-05,             9.6028e-05
                      3,                 2.2427,                 3.7435,                 1.6929,                 1.1767,                 0.5602,                0.55089,                0.53441,                0.25329,                0.51843,                0.52423,                0.49282,                 0.2034,                 1.6491,                 2.1989,                 1.2881,                 1.0556,              9.406e-05,              9.406e-05,              9.406e-05
                      4,                 2.2038,                 3.6952,                 1.6565,                 1.1657,                0.55702,                0.53496,                0.51995,                0.24981,                0.53268,                0.50472,                0.47579,                0.19853,                 1.6281,                 2.2644,                 1.3228,                 1.0528,              9.406e-05,              9.406e-05,              9.406e-05
                      5,                 2.1964,                 3.6884,                 1.6419,                 1.1662,                0.56767,                0.56323,                 0.5471,                0.25725,                0.54391,                0.53756,                0.51263,                0.21048,                 1.6458,                 2.1998,                 1.2614,                 1.0576,              9.208e-05,              9.208e-05,              9.208e-05
                      6,                  2.178,                 3.6639,                 1.6225,                 1.1596,                0.50501,                0.45073,                0.44908,                0.21313,                0.45805,                0.41365,                 0.3858,                0.15336,                 1.6791,                 2.6772,                 1.4719,                 1.0689,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                  2.155,                 3.6459,                 1.6041,                 1.1539,                0.58851,                0.54146,                0.55398,                0.26934,                0.54104,                 0.5022,                0.49169,                0.19958,                  1.596,                  2.309,                 1.2595,                 1.0421,              8.812e-05,              8.812e-05,              8.812e-05
                      8,                 2.1469,                 3.6275,                 1.5963,                 1.1539,                0.55122,                0.55681,                0.54421,                0.26387,                0.49554,                0.50569,                0.46872,                0.18581,                 1.5639,                 2.3127,                 1.2727,                 1.0419,              8.614e-05,              8.614e-05,              8.614e-05
                      9,                  2.143,                 3.6253,                 1.5877,                 1.1513,                0.50848,                0.47122,                 0.4556,                0.21742,                 0.4576,                0.42114,                0.39091,                0.15571,                 1.6561,                 2.6421,                 1.4322,                 1.0579,              8.416e-05,              8.416e-05,              8.416e-05
