                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.6294,                 2.2425,                 1.3441,                 1.1538,                0.62647,                0.61359,                0.63789,                0.31513,                0.65028,                0.62081,                0.65863,                0.32272,                 1.6587,                 2.0236,                 1.2688,                 1.1539,              0.0018911,              0.0018911,              0.0018911
                     24,                 1.6178,                 2.1934,                  1.365,                 1.1447,                0.61897,                0.62764,                0.62726,                0.32011,                0.63417,                0.63285,                0.64245,                0.31152,                 1.6099,                 2.0592,                 1.2538,                 1.1419,              0.0018862,              0.0018862,              0.0018862
                     25,                 1.6244,                 2.1975,                 1.3175,                 1.1537,                 0.6131,                 0.6322,                0.63424,                0.31205,                0.62817,                 0.6452,                0.64705,                0.29599,                 1.6581,                 2.1978,                 1.2889,                 1.1463,              0.0018812,              0.0018812,              0.0018812
                     26,                 1.6065,                 2.2096,                 1.3072,                 1.1435,                 0.6201,                 0.6374,                0.64275,                0.33052,                0.61852,                0.63577,                0.63826,                0.29446,                 1.5963,                 2.2349,                 1.2355,                 1.1296,              0.0018763,              0.0018763,              0.0018763
                     27,                 1.6073,                 2.1932,                  1.322,                 1.1429,                0.65404,                 0.6314,                0.66695,                0.33331,                0.66984,                0.64065,                0.68435,                0.31917,                 1.6162,                 2.1319,                 1.2272,                 1.1442,              0.0018713,              0.0018713,              0.0018713
                     28,                 1.6059,                   2.19,                 1.3036,                 1.1415,                 0.6178,                0.65463,                0.64153,                 0.3264,                0.63259,                0.66797,                 0.6625,                0.32219,                 1.6401,                 2.0593,                 1.2427,                 1.1482,              0.0018663,              0.0018663,              0.0018663
                     29,                 1.5963,                 2.1664,                 1.2888,                 1.1301,                0.64658,                0.64293,                0.67036,                 0.3282,                0.66213,                0.65724,                0.68989,                 0.3195,                 1.6617,                  2.183,                 1.2088,                 1.1488,              0.0018614,              0.0018614,              0.0018614
                     30,                 1.6063,                 2.1799,                 1.3032,                 1.1379,                0.63348,                0.64583,                0.65269,                  0.335,                0.64311,                0.65431,                0.65864,                0.31191,                 1.5967,                 2.0644,                 1.2271,                 1.1349,              0.0018564,              0.0018564,              0.0018564
                     31,                 1.5964,                 2.1737,                 1.2964,                 1.1342,                0.65879,                0.64585,                0.67816,                0.34582,                0.67279,                0.65797,                0.69084,                 0.3306,                 1.6102,                 2.1383,                 1.2071,                 1.1325,              0.0018515,              0.0018515,              0.0018515
                     32,                 1.5925,                 2.1778,                 1.3007,                 1.1348,                0.64548,                0.63089,                0.65991,                0.33027,                0.64946,                0.62843,                0.65906,                0.29631,                 1.6275,                 2.2827,                 1.2125,                 1.1376,              0.0018465,              0.0018465,              0.0018465
