epoch,loss_train,mask_loss_train,boundaries_loss_train,dist_loss_train,loss_val,th_best,best_fbeta,mask_loss_val,boundaries_loss_val,dist_loss_val
1,2.0565822042737687,0.7098430781705038,0.6044084703922272,0.7423306551149913,1.6703367354506151,0.5,0.0944407507777214,0.6928471437955307,0.6147530493089708,0.3627365317385075
2,1.3359749225207738,0.6745242473057338,0.5591168779986245,0.102333796141403,1.220628004963115,0.48,0.1000107899308204,0.6325385206836766,0.5258228263612521,0.0622666465213238
3,1.131254711321422,0.5865665095193046,0.4774200057983398,0.0672681968020541,1.0164245821661868,0.41,0.0955900251865387,0.53923182366258,0.4221107237419839,0.0550820285738524
4,0.935518889938082,0.4840424721581595,0.3920529626096998,0.0594234544624175,0.8590009889360202,0.42,0.3037877082824707,0.4512487149844735,0.3592205330476922,0.0485317438714585
5,0.7430209195613862,0.3858368272440774,0.3072118148633412,0.0499722779808299,0.6298978672189227,0.37,0.4620477259159088,0.3356460999634306,0.2588840187606165,0.0353677471689248
6,0.559076926112175,0.2916907743045261,0.2235646217209952,0.0438215313665568,0.4740442365913068,0.37,0.5729154944419861,0.2512924524687104,0.1904668825662742,0.0322848997883877
7,0.4173110272203173,0.219179966364588,0.1578563422390392,0.0402747187231268,0.3382730281959146,0.31,0.6412397027015686,0.1825141782982874,0.1280508074214903,0.0277080411028306
8,0.3203442754915782,0.1721683739338602,0.108591782514538,0.0395841201022267,0.2595249232599291,0.33,0.6481665968894958,0.1410824730992317,0.0900494491649886,0.0283930009957087
9,0.2524114065085138,0.1394954098761081,0.0753441146335431,0.0375718819616096,0.2036707724555064,0.27,0.6556801795959473,0.1139883184331958,0.0621495770322064,0.0275328774163025
10,0.2118867064799581,0.1210938006213733,0.0538184353922094,0.0369744709267148,0.173115023617017,0.37,0.6431880593299866,0.0979099506670135,0.0462191111202967,0.0289859625873929
11,0.1854931972069399,0.1083595428615808,0.0408539067474859,0.0362797475606203,0.1494370876985081,0.36,0.6650460958480835,0.0874566973139674,0.0347152120923086,0.0272651788920669
12,0.1703713345314775,0.1017870122620037,0.0329446916814361,0.0356396302354655,0.1405802371643357,0.37,0.6455428004264832,0.0844892497032375,0.0295294366650662,0.026561550559255
13,0.1576869612506457,0.0950993953858103,0.0284164079119052,0.0341711583001805,0.1372266757791325,0.45,0.6498206853866577,0.0830089156910524,0.0268706303026716,0.0273471295170612
14,0.1545559240877628,0.0941755295119115,0.0256133463765893,0.0347670477908104,0.1329029320534002,0.27,0.6627992391586304,0.0779064471943903,0.0234465955014703,0.0315498901310108
15,0.1464149073617799,0.089195996469685,0.0236679840540247,0.0335509270842054,0.1263483689498093,0.26,0.6737122535705566,0.0776090979954954,0.0216990718933737,0.0270401998186263
16,0.1401577039062976,0.0862469122026647,0.0220993393632982,0.0318114526742803,0.1191995182406094,0.27,0.6795905232429504,0.0733222715493481,0.0210612322661583,0.0248160140699375
17,0.1448800480046442,0.0891593501716852,0.0213396842458418,0.0343810139636376,0.1538360386581744,0.52,0.5520421862602234,0.0936026149508306,0.020222613288058,0.0400108096300292
18,0.1347880865420614,0.0833300040981599,0.0204550968775791,0.0310029854066669,0.126986297257876,0.44,0.6619932651519775,0.0781446834236888,0.0198941992722072,0.0289474152249552
19,0.1363334578807865,0.0844108497990029,0.0199222270958125,0.0320003815154944,0.1178268948727745,0.44,0.6540185809135437,0.0733033631438926,0.0188141165743187,0.0257094151072077
20,0.1326189214629786,0.0824885369305099,0.0193468472787312,0.0307835379854909,0.1387133691775596,0.49,0.6386585831642151,0.0878310356983693,0.0218814334405933,0.0290009006226466
21,0.1341579897275993,0.083402686917356,0.0191451981131519,0.0316101047423269,0.1019902565216614,0.38,0.7173941731452942,0.0613787677770448,0.0175736203505578,0.0230378674785211
22,0.1273740418255329,0.0783553336507507,0.0187187821178564,0.0302999264959778,0.1223346138278306,0.55,0.6733866930007935,0.0764688022624133,0.0177936056407831,0.0280722058141383
23,0.1278304924815893,0.0788545740289347,0.0185675316024571,0.0304083869207118,0.1229439410617796,0.49,0.6826001405715942,0.0748814744716983,0.017748261628262,0.0303142042199181
24,0.1300684773283345,0.0811536912566849,0.0185713749458747,0.0303434114317808,0.147944674527241,0.53,0.6114708781242371,0.0896829310488902,0.0182211584395776,0.0400405844389382
25,0.1309087210787194,0.0815169766651732,0.0183990821242332,0.0309926625354481,0.106722508825488,0.42,0.7079334855079651,0.0662924904313127,0.0172119083009281,0.0232181101090322
26,0.1312059505496706,0.0822546957858971,0.0181320323821689,0.0308192225958087,0.1027895371287556,0.28,0.7122482657432556,0.0642179299335358,0.0169816496939856,0.02158995607268
27,0.1261512060356991,0.0785317180731466,0.0180987997366381,0.029520688080894,0.1099817596881066,0.4,0.6890054941177368,0.0675303682811179,0.0167837733781691,0.0256676175079103
28,0.1223653302448136,0.0759315114681209,0.0178193205022918,0.0286144985351711,0.1017823792615179,0.35,0.7063874006271362,0.0627729362981804,0.0166915611411302,0.0223178817590667
29,0.1195987452247313,0.0744874065475804,0.0175704527287078,0.0275408861240638,0.0972293765615608,0.36,0.7244852781295776,0.0599485682481426,0.0167863658645142,0.0204944428119619
30,0.1223197477736643,0.076026544666716,0.0176276111323386,0.028665592521429,0.1174066720246258,0.48,0.67375648021698,0.0721437900121939,0.0166649316690104,0.0285979500829668
31,0.1156364875073943,0.0719347720859306,0.0174529666267335,0.0262487486576927,0.1178887475723937,0.43,0.66302090883255,0.0718479758854639,0.0165564164803442,0.0294843547172465
32,0.1231779769382306,0.0769959796220064,0.0175696651504508,0.0286123319169772,0.1221999381432088,0.29,0.645257294178009,0.0791968678013753,0.0170290546207609,0.0259740159262792
33,0.1214369841026408,0.0752307549438306,0.0175244540322039,0.028681775048109,0.1037424410677562,0.3,0.7089942097663879,0.0656331203625363,0.0167055389038839,0.0214037816513771
34,0.1154503656391586,0.071741943119892,0.0174158030309315,0.0262926196400076,0.1064278612197455,0.38,0.6951398253440857,0.0675037141763052,0.0167119167745113,0.0222122307898382
35,0.1157174123610769,0.0715492643469146,0.0172949634412569,0.0268731847232473,0.114582808088448,0.49,0.6646765470504761,0.0698436392250202,0.0166537151987648,0.0280854536725555
36,0.1184632667686258,0.074015990213624,0.0174163120386323,0.0270309645230216,0.1087176021251638,0.32,0.6941056847572327,0.0673834915130825,0.0164904842721456,0.0248436255191089
37,0.1134571671805211,0.0698114617222121,0.0172439021045076,0.0264018031489104,0.1050048214146646,0.35,0.696395218372345,0.0649465199212654,0.0164199416067893,0.0236383593814857
38,0.1160912988654204,0.0725297502002545,0.0172622658046228,0.0262992827288274,0.1022172922552642,0.35,0.7112573385238647,0.064464778623591,0.0165382983494486,0.0212142148797037
39,0.1071500225045851,0.0665523661939161,0.0169282333193612,0.0236694226906235,0.1016511519329022,0.24,0.7184825539588928,0.0628031863499496,0.0163241658217699,0.022523800171596
40,0.1149346784608704,0.0704218283881034,0.0171420586787696,0.0273707913181611,0.117759442493572,0.43,0.6621032953262329,0.0716929556012658,0.0163539760840772,0.0297125103978156
41,0.108462341970631,0.0673347552439996,0.0169610663330448,0.0241665203856038,0.1181676553846415,0.5,0.6844531297683716,0.0712717604839195,0.0162907265031994,0.030605168515911
42,0.1047233609855175,0.0647703842233334,0.0168593433273157,0.0230936330410518,0.1034436192426641,0.5,0.713789701461792,0.0653258380874738,0.0164263580404853,0.0216914220018533
43,0.1103294286131858,0.0681801505333611,0.016891893630049,0.0252573845508907,0.1390904829348042,0.38,0.6366437673568726,0.083207260043818,0.0164084128277786,0.0394748098895711
44,0.1023073412211878,0.0630723675712943,0.0168443248580609,0.0223906490619161,0.1010123134227627,0.36,0.7121266722679138,0.0624433432595204,0.0160230083264789,0.0225459617815154
45,0.1048869843355247,0.0649202251753636,0.0168742517275469,0.0230925071345908,0.0999001331501087,0.32,0.7110152840614319,0.0624241521739858,0.0165302263241324,0.0209457552439327
46,0.1113613653715167,0.0694194837446723,0.0168962633370288,0.0250456183989133,0.1007933813636585,0.36,0.7123460173606873,0.0629225872393886,0.0161436640862691,0.0217271301406041
47,0.1144338196835347,0.0711518043492521,0.0170418896605925,0.0262401257668222,0.102925692511312,0.27,0.6925544738769531,0.0648773686991909,0.016305572487477,0.0217427512851812
48,0.1091356197052768,0.0676366232974188,0.0168578523982848,0.0246411438006907,0.1091048457359863,0.49,0.6823573112487793,0.0692703128176725,0.0164106190441397,0.0234239127297522
49,0.1064780742355755,0.0659772589696305,0.0168526595764394,0.0236481558864137,0.1086509023177421,0.54,0.7064126133918762,0.068587747260423,0.016301387044901,0.0237617677993188
50,0.1027238430721419,0.0634994970102395,0.0168147561033921,0.0224095902818122,0.097873141389277,0.44,0.7196248769760132,0.0612108790142051,0.0159967190238757,0.0206655429092125
51,0.096048032024077,0.0592120822519064,0.0165488024574837,0.0202871471523706,0.0959260883599014,0.45,0.7287429571151733,0.0591321815184112,0.0160796202371938,0.0207142855466927
52,0.1008491984541927,0.0625655759817787,0.0165546141870852,0.0217290081429694,0.0949706764165627,0.45,0.7327457070350647,0.0582069216011944,0.015866888805403,0.0208968654811634
53,0.108505773288863,0.0676345211267471,0.0168095735646784,0.0240616786213857,0.1095064829214144,0.29,0.7001258730888367,0.0703248477272563,0.0167838546873654,0.0223977806488588
54,0.1129660659709147,0.0708883815045867,0.0169964422697999,0.0250812420528382,0.1068431345461788,0.34,0.695902943611145,0.0661212475496833,0.016281553165261,0.0244403336812757
55,0.1189517846224563,0.0744756961294582,0.0171494708635977,0.0273266174138656,0.1079298526806346,0.3,0.6901156306266785,0.068312065959987,0.0165856192835559,0.0230321668135791
56,0.1079169023569141,0.0668689277981008,0.0169540010499102,0.0240939736180007,0.107426979531676,0.34,0.696933925151825,0.065923665050354,0.0161485033804329,0.0253548114876247
57,0.11119415586016,0.0688085327829633,0.0167924549137907,0.0255931678999747,0.10057160978095,0.43,0.7082561254501343,0.0628594667413982,0.0159558160861922,0.0217563265587313
58,0.1024176396163446,0.0632945746715579,0.0167008310742676,0.0224222338000046,0.1006367597413265,0.32,0.7042726278305054,0.0629436332353595,0.0160104022203486,0.0216827246171059
59,0.1085450823126094,0.0677004360992993,0.0167804481521514,0.0240641985713903,0.1111644845834728,0.38,0.6794296503067017,0.0688397973081318,0.0164564203912928,0.0258682672313209
60,0.1104908178799918,0.0688509628309735,0.0168566363344767,0.0247832183805959,0.1137011367827653,0.6,0.6857773661613464,0.0720481338074146,0.0164363161834367,0.0252166872102198
61,0.1017822555825114,0.063206215926579,0.0165694959461689,0.0220065435421253,0.107754927696818,0.5,0.7026330828666687,0.0657437147762058,0.0159299047900584,0.0260813075070411
62,0.1005675980768033,0.0620939893967339,0.0165580181032419,0.0219155901750283,0.170245200143022,0.32,0.6025176644325256,0.0958926137221061,0.0162547751471905,0.058097809632072
63,0.1075618325120636,0.0669342704170516,0.0168038896923618,0.0238236722589603,0.0930911258999574,0.35,0.7300764918327332,0.0579615653476725,0.0157971621285808,0.0193323978949022
64,0.1113243285034384,0.0689557098331195,0.0167762738146952,0.0255923450605145,0.0982314972680504,0.4,0.7152812480926514,0.0609026907990544,0.0158793752760452,0.0214494309956365
65,0.0991466906453882,0.0616952421622616,0.0165219911161277,0.0209294573191021,0.1114639108211307,0.28,0.6854873299598694,0.0699524864933248,0.0160736010125759,0.025437822715395
66,0.1068208113738468,0.0667544729315808,0.0166393468595509,0.0234269913671804,0.1277158336114075,0.42,0.6206439733505249,0.0819536918553255,0.0165632489705616,0.0291988927302724
67,0.102877253091761,0.0635494940940822,0.0165676969715527,0.0227600619316633,0.1023102268197778,0.45,0.7023309469223022,0.0630003504013105,0.0157740776569156,0.0235357982011796
68,0.1025698649457522,0.0634397219068237,0.0165681488173348,0.0225619941683752,0.099404904833537,0.4,0.7197712063789368,0.0612445634047863,0.0159328034921091,0.0222275381813109
69,0.0976923933518784,0.0608722041440861,0.0164754890051803,0.0203447001613676,0.1297274498995077,0.44,0.677150547504425,0.0748607904918618,0.0160382834373641,0.0388283751968105
70,0.0958728756329843,0.0592005373218229,0.0164037184184417,0.020268619919994,0.1147147859367778,0.36,0.6875219345092773,0.0718420511900873,0.0162947465176299,0.0265779884579449
71,0.1045666092102016,0.0645871343782969,0.0167096011593405,0.0232698736991733,0.0951081569290767,0.45,0.72934889793396,0.0591514153185032,0.0157668189208765,0.0201899218215149
72,0.0911517769311155,0.0563980266930801,0.0162603492156735,0.0184934010755802,0.0999676529633796,0.39,0.707271158695221,0.0614749205819631,0.0156659685485696,0.0228267634066484
73,0.094838390105537,0.058698638746781,0.0163168745328273,0.0198228765624974,0.1020310683396913,0.45,0.715435266494751,0.0637211401520644,0.0159915094658479,0.0223184194400022
74,0.1024862498257841,0.0632303524336644,0.0165786987077444,0.022677198400987,0.1058512496114787,0.38,0.6988107562065125,0.0642923000505415,0.0157505564186406,0.0258083934343214
75,0.0893405335183654,0.0549087263058338,0.016143528348101,0.0182882787061056,0.111248524670126,0.39,0.7051628828048706,0.0677002582193936,0.0156460307238591,0.0279022362635676
