                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                 1.3202,                0.96401,                  1.097,                0.70342,                 0.6718,                0.71852,                0.39471,                 1.4997,                 1.0457,                 1.1858,              0.0012822,              0.0012822,              0.0012822
                    147,                 1.3186,                0.95557,                 1.0937,                0.69113,                0.69008,                0.71615,                0.39456,                 1.4803,                 1.0472,                  1.175,              0.0012773,              0.0012773,              0.0012773
                    148,                 1.3126,                0.95378,                 1.0921,                 0.6935,                0.68813,                 0.7236,                0.40145,                 1.4772,                 1.0277,                  1.177,              0.0012724,              0.0012724,              0.0012724
                    149,                 1.2988,                0.94922,                  1.088,                0.69681,                0.68088,                0.71568,                0.38964,                 1.5033,                 1.0519,                 1.1813,              0.0012674,              0.0012674,              0.0012674
                    150,                  1.311,                0.93902,                 1.0908,                0.70764,                 0.6865,                0.72455,                0.39764,                 1.4942,                 1.0364,                 1.1894,              0.0012624,              0.0012624,              0.0012624
                    151,                 1.3069,                 0.9408,                 1.0912,                0.68305,                0.70081,                0.72199,                0.40233,                 1.4719,                  1.032,                 1.1778,              0.0012575,              0.0012575,              0.0012575
                    152,                 1.3007,                0.93533,                 1.0908,                0.68362,                0.70478,                0.73345,                0.40235,                 1.4979,                 1.0283,                 1.1875,              0.0012526,              0.0012526,              0.0012526
                    153,                 1.3196,                0.94656,                 1.1029,                0.70025,                0.69268,                0.72778,                0.39869,                 1.5022,                 1.0312,                 1.1884,              0.0012476,              0.0012476,              0.0012476
                    154,                 1.3063,                0.94524,                 1.0835,                0.69748,                0.68683,                0.72609,                0.40391,                  1.476,                 1.0431,                 1.1789,              0.0012426,              0.0012426,              0.0012426
                    155,                 1.3106,                0.95288,                 1.0976,                0.68746,                0.68878,                0.72397,                 0.3999,                 1.4788,                 1.0337,                 1.1859,              0.0012377,              0.0012377,              0.0012377
                    156,                 1.3008,                0.94364,                 1.0999,                0.71354,                0.67837,                0.73314,                0.40213,                 1.4874,                  1.035,                 1.1809,              0.0012328,              0.0012328,              0.0012328
                    157,                 1.3036,                 0.9322,                 1.0902,                0.71022,                0.68033,                0.72918,                0.40039,                 1.5009,                 1.0353,                 1.1899,              0.0012278,              0.0012278,              0.0012278
                    158,                 1.2999,                0.93246,                 1.0807,                0.70645,                 0.6761,                0.72807,                0.40384,                 1.4947,                 1.0312,                  1.186,              0.0012228,              0.0012228,              0.0012228
                    159,                 1.2991,                0.93199,                 1.0813,                0.69047,                0.69203,                0.72482,                0.39759,                 1.4926,                 1.0424,                 1.1784,              0.0012179,              0.0012179,              0.0012179
                    160,                 1.2919,                0.92553,                 1.0853,                0.70371,                0.68356,                0.72049,                0.39682,                 1.4937,                  1.031,                 1.1802,              0.0012129,              0.0012129,              0.0012129
                    161,                 1.2906,                0.94337,                 1.0855,                0.71834,                0.68325,                0.72524,                0.40043,                 1.4879,                 1.0355,                 1.1847,               0.001208,               0.001208,               0.001208
                    162,                 1.2843,                0.91445,                 1.0795,                0.70438,                 0.6878,                0.72552,                 0.4006,                 1.4848,                 1.0297,                 1.1887,               0.001203,               0.001203,               0.001203
                    163,                 1.3044,                0.93883,                 1.0874,                 0.7054,                0.68715,                0.72578,                  0.399,                 1.4885,                 1.0309,                 1.1824,              0.0011981,              0.0011981,              0.0011981
                    164,                 1.2941,                0.93684,                 1.0925,                0.68891,                0.69366,                0.72213,                 0.3971,                 1.5021,                 1.0462,                 1.1931,              0.0011932,              0.0011932,              0.0011932
                    165,                  1.305,                0.94046,                 1.0962,                0.71749,                0.65247,                 0.7186,                0.39563,                 1.4928,                 1.0501,                 1.1846,              0.0011882,              0.0011882,              0.0011882
                    166,                 1.3071,                0.94599,                 1.0844,                0.70015,                0.69528,                0.72574,                0.39793,                 1.4988,                 1.0312,                 1.1844,              0.0011833,              0.0011833,              0.0011833
                    167,                 1.3032,                0.92765,                  1.087,                0.71592,                0.67675,                0.72404,                  0.401,                 1.4768,                 1.0325,                 1.1804,              0.0011783,              0.0011783,              0.0011783
                    168,                 1.2878,                0.92882,                 1.0847,                0.70726,                0.67089,                0.71995,                0.39739,                 1.4901,                 1.0306,                 1.1916,              0.0011734,              0.0011734,              0.0011734
                    169,                 1.3194,                0.95175,                 1.0891,                0.69441,                0.67618,                0.71949,                0.39988,                 1.4937,                 1.0415,                 1.2015,              0.0011684,              0.0011684,              0.0011684
                    170,                 1.2848,                0.92736,                  1.087,                0.69954,                0.66862,                0.71599,                0.39707,                 1.4884,                 1.0504,                 1.2012,              0.0011635,              0.0011635,              0.0011635
                    171,                 1.2804,                0.91098,                 1.0819,                0.68985,                0.68748,                0.72461,                0.40222,                 1.4954,                 1.0219,                 1.1986,              0.0011585,              0.0011585,              0.0011585
                    172,                 1.3029,                  0.929,                 1.0914,                 0.7112,                0.67415,                0.72921,                0.40301,                 1.4823,                 1.0257,                 1.1894,              0.0011536,              0.0011536,              0.0011536
                    173,                 1.2949,                0.91895,                 1.0861,                0.69781,                0.68976,                0.72745,                0.40321,                 1.4898,                 1.0351,                 1.1906,              0.0011486,              0.0011486,              0.0011486
                    174,                 1.2974,                0.91726,                 1.0787,                0.69724,                0.67779,                0.72104,                0.39281,                 1.5043,                 1.0549,                 1.1953,              0.0011437,              0.0011437,              0.0011437
                    175,                 1.3047,                0.92676,                 1.0812,                 0.6785,                0.68748,                0.71763,                0.39712,                 1.4888,                 1.0427,                 1.1881,              0.0011387,              0.0011387,              0.0011387
                    176,                 1.2954,                0.90879,                 1.0795,                0.68722,                0.69308,                0.72167,                0.39787,                 1.4855,                 1.0455,                 1.1883,              0.0011337,              0.0011337,              0.0011337
                    177,                 1.2762,                0.89731,                  1.073,                0.69659,                0.67577,                0.72047,                  0.399,                 1.4833,                 1.0367,                 1.1871,              0.0011288,              0.0011288,              0.0011288
                    178,                 1.3007,                0.94809,                 1.0897,                0.70854,                0.68293,                0.72606,                0.39919,                 1.5019,                 1.0417,                 1.1901,              0.0011239,              0.0011239,              0.0011239
                    179,                 1.2855,                0.90521,                 1.0779,                0.68822,                0.69951,                0.72651,                0.40378,                 1.4837,                 1.0441,                 1.1905,              0.0011189,              0.0011189,              0.0011189
                    180,                 1.2837,                0.91036,                 1.0814,                0.70385,                0.68358,                0.72034,                0.39704,                 1.4957,                 1.0441,                 1.1934,               0.001114,               0.001114,               0.001114
                    181,                 1.2741,                0.89186,                 1.0762,                 0.6989,                0.67936,                0.71825,                0.39857,                 1.4813,                 1.0501,                 1.1854,               0.001109,               0.001109,               0.001109
                    182,                  1.273,                0.89815,                  1.074,                0.69768,                0.68683,                0.72125,                 0.3973,                 1.5047,                 1.0314,                 1.1943,              0.0011041,              0.0011041,              0.0011041
                    183,                 1.2716,                0.88421,                 1.0687,                0.70842,                0.67871,                0.72578,                0.40273,                 1.4936,                 1.0274,                 1.1952,              0.0010991,              0.0010991,              0.0010991
                    184,                 1.2782,                0.89769,                 1.0776,                0.71488,                0.67678,                0.72483,                 0.4022,                 1.4942,                 1.0371,                 1.1942,              0.0010941,              0.0010941,              0.0010941
                    185,                 1.2668,                0.89958,                 1.0798,                0.68953,                0.69366,                0.72234,                0.40103,                 1.4863,                 1.0375,                  1.189,              0.0010892,              0.0010892,              0.0010892
                    186,                 1.2749,                0.90124,                 1.0782,                0.70347,                0.66812,                0.71791,                0.39825,                 1.5068,                 1.0356,                 1.2096,              0.0010842,              0.0010842,              0.0010842
                    187,                 1.2727,                0.88887,                 1.0717,                0.69932,                0.69203,                0.71927,                0.39714,                 1.5062,                 1.0371,                 1.1992,              0.0010793,              0.0010793,              0.0010793
                    188,                 1.2647,                0.87103,                 1.0634,                0.70559,                0.67805,                0.71956,                0.40014,                 1.5009,                  1.042,                 1.1983,              0.0010743,              0.0010743,              0.0010743
                    189,                 1.2816,                0.89474,                 1.0739,                0.70484,                0.68423,                0.71893,                0.39901,                 1.5059,                 1.0327,                 1.1993,              0.0010694,              0.0010694,              0.0010694
                    190,                 1.2662,                0.88937,                 1.0728,                0.69402,                0.68455,                0.71759,                0.39708,                  1.504,                 1.0514,                 1.1978,              0.0010645,              0.0010645,              0.0010645
                    191,                 1.2694,                 0.8899,                 1.0776,                 0.7014,                0.67835,                0.72229,                0.39593,                  1.517,                 1.0485,                 1.2064,              0.0010595,              0.0010595,              0.0010595
                    192,                 1.2593,                0.87926,                 1.0714,                0.71931,                0.67122,                0.72175,                 0.3994,                 1.5144,                 1.0378,                 1.2078,              0.0010545,              0.0010545,              0.0010545
                    193,                 1.2646,                0.87984,                 1.0752,                0.70913,                0.67935,                0.71895,                 0.3963,                 1.5053,                 1.0394,                 1.1973,              0.0010496,              0.0010496,              0.0010496
                    194,                 1.2699,                 0.8756,                 1.0723,                0.72011,                0.67285,                0.71726,                 0.3957,                 1.5073,                 1.0408,                 1.1969,              0.0010447,              0.0010447,              0.0010447
                    195,                  1.275,                0.89708,                 1.0798,                0.71561,                0.68084,                0.72031,                0.39956,                 1.5029,                 1.0281,                 1.2001,              0.0010397,              0.0010397,              0.0010397
                    196,                 1.2552,                0.87358,                 1.0692,                0.71577,                 0.6813,                0.72119,                0.39595,                 1.5025,                 1.0306,                 1.1993,              0.0010347,              0.0010347,              0.0010347
                    197,                 1.2543,                0.87824,                 1.0663,                0.71336,                 0.6774,                0.72541,                0.40109,                 1.4999,                 1.0271,                 1.1945,              0.0010298,              0.0010298,              0.0010298
                    198,                 1.2651,                0.87281,                 1.0699,                0.69842,                0.68611,                0.72029,                0.39809,                  1.508,                 1.0344,                 1.2039,              0.0010249,              0.0010249,              0.0010249
                    199,                 1.2747,                0.89239,                 1.0755,                0.70549,                 0.6865,                0.72309,                0.39777,                 1.5095,                 1.0367,                 1.2021,              0.0010199,              0.0010199,              0.0010199
                    200,                 1.2722,                0.88906,                 1.0619,                0.72249,                0.66374,                0.72466,                0.39357,                 1.5193,                 1.0463,                 1.2081,              0.0010149,              0.0010149,              0.0010149
                    201,                 1.2648,                 0.8893,                 1.0763,                0.69292,                0.68318,                0.71871,                0.39276,                 1.5079,                 1.0586,                 1.2098,                0.00101,                0.00101,                0.00101
                    202,                 1.2698,                0.87071,                 1.0679,                0.72109,                0.66253,                0.72337,                 0.3986,                 1.5127,                 1.0341,                 1.2034,               0.001005,               0.001005,               0.001005
                    203,                 1.2693,                0.88616,                 1.0793,                0.72002,                0.67577,                0.72401,                0.39962,                 1.5067,                   1.03,                 1.2013,              0.0010001,              0.0010001,              0.0010001
                    204,                 1.2642,                0.88371,                 1.0666,                0.72693,                0.68046,                0.72429,                0.39804,                 1.5063,                  1.038,                 1.2073,             0.00099515,             0.00099515,             0.00099515
                    205,                 1.2458,                0.85368,                  1.059,                0.69531,                0.69758,                0.71718,                0.39076,                 1.5076,                 1.0416,                 1.2015,              0.0009902,              0.0009902,              0.0009902
                    206,                 1.2645,                0.86227,                 1.0728,                0.70132,                0.68846,                 0.7205,                0.39397,                 1.5171,                  1.044,                 1.2025,             0.00098525,             0.00098525,             0.00098525
                    207,                 1.2586,                0.88197,                 1.0718,                0.72876,                0.66754,                0.71777,                0.39076,                 1.5143,                 1.0529,                 1.2084,              0.0009803,              0.0009803,              0.0009803
                    208,                 1.2422,                0.85579,                 1.0623,                0.70052,                 0.6869,                0.71677,                0.39355,                 1.5187,                 1.0572,                 1.2114,             0.00097535,             0.00097535,             0.00097535
