epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1.4907,2.0417,1.1895,1.172,0.62709,0.6382,0.6464,0.34176,0.63063,0.64846,0.65469,0.31647,1.5204,2.057,1.217,1.1838,0.0018564,0.0018564,0.0018564
31,1.4827,2.0358,1.1688,1.1721,0.6405,0.65691,0.67549,0.3581,0.64899,0.67415,0.69048,0.33651,1.5538,2.0697,1.1479,1.2074,0.0018515,0.0018515,0.0018515
32,1.4747,2.0383,1.1737,1.1687,0.6593,0.63434,0.6728,0.35394,0.6739,0.65008,0.69016,0.33404,1.5641,2.0977,1.1596,1.209,0.0018465,0.0018465,0.0018465
33,1.4867,2.0154,1.1765,1.1606,0.63772,0.64553,0.67165,0.35201,0.64557,0.65659,0.67522,0.31627,1.5467,2.1312,1.1877,1.2069,0.0018416,0.0018416,0.0018416
34,1.4666,2.0053,1.1669,1.1659,0.6494,0.64228,0.67276,0.36072,0.66375,0.65106,0.68754,0.33473,1.5244,2.0167,1.1786,1.1927,0.0018367,0.0018367,0.0018367
35,1.4678,2.016,1.1675,1.1642,0.63899,0.64195,0.65764,0.34315,0.65144,0.65626,0.67832,0.33275,1.5836,2.0095,1.1661,1.2114,0.0018317,0.0018317,0.0018317
36,1.4643,2.0093,1.1667,1.151,0.63172,0.65561,0.67081,0.35684,0.66016,0.64119,0.67355,0.31936,1.5297,2.0975,1.1913,1.1938,0.0018267,0.0018267,0.0018267
37,1.4666,1.995,1.1664,1.1601,0.64978,0.65826,0.6707,0.34731,0.66952,0.67642,0.6946,0.3393,1.6076,2.0375,1.1546,1.2146,0.0018218,0.0018218,0.0018218
38,1.4586,2.0029,1.1452,1.151,0.65805,0.63577,0.67934,0.36323,0.6626,0.63929,0.68366,0.31847,1.535,2.134,1.1755,1.2077,0.0018168,0.0018168,0.0018168
39,1.4542,2.0214,1.1518,1.1659,0.65329,0.64813,0.67178,0.34666,0.66319,0.66764,0.69168,0.34657,1.6035,1.9727,1.1624,1.219,0.0018119,0.0018119,0.0018119
40,1.4557,1.9918,1.1545,1.1518,0.64809,0.65398,0.68004,0.36137,0.64979,0.63089,0.66584,0.3054,1.5382,2.1789,1.1585,1.1975,0.0018069,0.0018069,0.0018069
41,1.4455,1.9737,1.1485,1.1556,0.66196,0.64228,0.67645,0.34509,0.67658,0.66179,0.70212,0.35098,1.6198,2.0176,1.1696,1.216,0.001802,0.001802,0.001802
42,1.4554,1.9937,1.1587,1.1533,0.66382,0.64599,0.68128,0.3664,0.66223,0.66959,0.69141,0.33554,1.5253,2.0305,1.1536,1.1871,0.0017971,0.0017971,0.0017971
43,1.445,1.982,1.1406,1.1505,0.63883,0.65236,0.65694,0.34211,0.66131,0.66472,0.68097,0.34275,1.5987,1.9869,1.1756,1.2108,0.0017921,0.0017921,0.0017921
44,1.4339,1.9788,1.1343,1.145,0.6807,0.63837,0.68831,0.36183,0.67812,0.65301,0.69995,0.33921,1.5544,2.0612,1.1358,1.1942,0.0017872,0.0017872,0.0017872
45,1.46,2.0125,1.1478,1.1541,0.663,0.64325,0.68998,0.37274,0.67004,0.65008,0.69552,0.33603,1.4985,2.05,1.141,1.1807,0.0017822,0.0017822,0.0017822
46,1.4432,1.9793,1.1299,1.1502,0.6727,0.63285,0.67592,0.36106,0.68651,0.6388,0.68731,0.33071,1.5404,2.1525,1.1529,1.1904,0.0017772,0.0017772,0.0017772
47,1.4406,1.9605,1.1362,1.1397,0.64957,0.65236,0.67811,0.36838,0.65243,0.66172,0.68359,0.33646,1.5,2.0456,1.1392,1.1823,0.0017723,0.0017723,0.0017723
48,1.4365,1.9469,1.1322,1.1432,0.64283,0.65463,0.68962,0.36472,0.65778,0.66571,0.70554,0.34194,1.5327,2.0343,1.1414,1.1853,0.0017674,0.0017674,0.0017674
49,1.4319,1.9568,1.1242,1.1431,0.6678,0.64,0.68557,0.36921,0.67405,0.65008,0.69343,0.33475,1.5123,2.0945,1.1344,1.1813,0.0017624,0.0017624,0.0017624
50,1.4409,1.9882,1.1461,1.1515,0.68575,0.63545,0.69691,0.36753,0.68301,0.65073,0.69939,0.32467,1.532,2.2129,1.1575,1.1944,0.0017575,0.0017575,0.0017575
