                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.5533,                 2.1474,                  1.268,                 1.1741,                0.63882,                0.60325,                0.64013,                0.32051,                0.65441,                0.63447,                0.67273,                0.32573,                 1.6503,                 2.0482,                 1.2674,                 1.2106,              0.0018911,              0.0018911,              0.0018911
                     24,                 1.5388,                  2.093,                 1.2885,                 1.1594,                0.63374,                0.61171,                0.64219,                0.33396,                0.65231,                0.61724,                0.65964,                0.32572,                 1.5751,                 2.0614,                 1.2505,                 1.1803,              0.0018862,              0.0018862,              0.0018862
                     25,                 1.5522,                 2.1127,                 1.2413,                 1.1694,                0.63764,                0.63805,                0.65927,                0.33305,                0.65087,                0.65366,                0.67494,                0.32415,                  1.622,                 2.1014,                 1.2189,                 1.1973,              0.0018812,              0.0018812,              0.0018812
                     26,                 1.5353,                 2.1127,                 1.2386,                 1.1675,                 0.6158,                 0.6335,                0.62814,                0.33006,                0.62876,                0.64683,                0.64545,                0.31176,                 1.5809,                 2.1247,                 1.2217,                 1.1796,              0.0018763,              0.0018763,              0.0018763
                     27,                 1.5271,                 2.0978,                 1.2384,                 1.1548,                 0.6326,                0.65463,                0.66527,                0.33468,                0.65279,                0.66992,                0.68906,                0.32587,                 1.6214,                 2.1363,                 1.2104,                 1.2076,              0.0018713,              0.0018713,              0.0018713
                     28,                 1.5245,                 2.1003,                  1.228,                 1.1589,                0.62899,                0.62961,                0.64821,                0.33491,                0.64491,                0.64555,                0.66735,                0.32508,                 1.6075,                 2.0735,                 1.2231,                 1.1952,              0.0018663,              0.0018663,              0.0018663
                     29,                 1.5196,                 2.0579,                  1.211,                 1.1481,                0.66485,                0.63772,                 0.6719,                0.35303,                0.67555,                0.65236,                0.68818,                0.33406,                 1.5655,                 2.1138,                 1.1582,                 1.1762,              0.0018614,              0.0018614,              0.0018614
                     30,                 1.5352,                  2.088,                 1.2388,                 1.1576,                0.65041,                0.64195,                0.66997,                0.34521,                0.65072,                0.65659,                0.67224,                 0.3259,                 1.5666,                 2.0645,                 1.1857,                 1.1823,              0.0018564,              0.0018564,              0.0018564
                     31,                 1.5192,                 2.0713,                 1.2165,                 1.1503,                0.62923,                0.65236,                0.67519,                0.35564,                0.63739,                0.66081,                0.67753,                0.32576,                 1.5582,                 2.1772,                 1.1936,                 1.1676,              0.0018515,              0.0018515,              0.0018515
                     32,                 1.5137,                 2.0854,                 1.2268,                 1.1526,                0.63068,                0.64325,                0.66895,                0.35013,                0.64279,                0.65561,                0.68092,                0.32133,                 1.5764,                 2.2148,                 1.1796,                 1.1832,              0.0018465,              0.0018465,              0.0018465
                     33,                 1.5261,                 2.0706,                 1.2155,                 1.1451,                 0.6455,                0.62537,                0.66255,                0.34194,                 0.6571,                0.64976,                0.68087,                0.33237,                 1.5723,                 2.0586,                 1.2282,                  1.158,              0.0018416,              0.0018416,              0.0018416
                     34,                 1.5147,                 2.0431,                 1.2117,                 1.1483,                0.64687,                0.65708,                0.67885,                0.35324,                0.65796,                0.66634,                0.69054,                0.33564,                 1.5654,                 2.0408,                 1.1752,                 1.1726,              0.0018367,              0.0018367,              0.0018367
                     35,                 1.5047,                 2.0508,                 1.2145,                 1.1475,                0.62971,                 0.6439,                0.64712,                0.33583,                 0.6433,                0.65041,                0.66437,                0.32368,                 1.5841,                  2.084,                 1.2023,                 1.1776,              0.0018317,              0.0018317,              0.0018317
                     36,                 1.5028,                 2.0471,                 1.2109,                 1.1375,                0.63115,                0.66107,                0.67037,                 0.3473,                0.63366,                0.67024,                0.67394,                0.32468,                 1.5655,                 2.1487,                 1.2109,                 1.1643,              0.0018267,              0.0018267,              0.0018267
                     37,                 1.5204,                 2.0536,                 1.2012,                 1.1483,                0.65603,                0.62954,                0.66881,                0.34309,                0.67164,                 0.6413,                0.68588,                0.33166,                 1.5953,                 2.0989,                 1.1772,                 1.1785,              0.0018218,              0.0018218,              0.0018218
                     38,                 1.4924,                 2.0465,                 1.1816,                 1.1354,                0.66804,                0.63252,                0.67473,                0.35754,                0.67318,                0.64098,                0.68607,                0.32603,                 1.5446,                  2.161,                 1.1937,                 1.1718,              0.0018168,              0.0018168,              0.0018168
