                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                  1.766,                 2.4406,                 1.5189,                  1.198,                0.60144,                0.57859,                0.59387,                0.28457,                0.61384,                0.60069,                0.62022,                0.28801,                 1.7189,                 2.1553,                 1.3695,                  1.173,              0.0018911,              0.0018911,              0.0018911
                     24,                 1.7562,                 2.4427,                 1.5409,                  1.187,                0.58877,                0.58894,                0.59513,                0.29168,                0.60721,                0.60065,                0.61114,                0.27273,                 1.6374,                 2.3231,                 1.3623,                 1.1416,              0.0018862,              0.0018862,              0.0018862
                     25,                 1.7534,                 2.4037,                  1.494,                 1.1917,                0.60276,                0.61138,                0.61205,                 0.2901,                0.60997,                0.61741,                0.61951,                0.27907,                 1.6998,                 2.2558,                 1.3648,                 1.1662,              0.0018812,              0.0018812,              0.0018812
                     26,                 1.7418,                 2.4212,                  1.491,                 1.1882,                0.57273,                 0.6065,                0.59643,                0.30088,                0.58803,                0.61171,                0.60763,                0.27508,                 1.6235,                 2.1915,                  1.374,                 1.1371,              0.0018763,              0.0018763,              0.0018763
                     27,                 1.7401,                 2.4052,                 1.4956,                 1.1816,                0.59522,                0.58081,                0.59216,                0.28437,                0.60014,                 0.5922,                0.60327,                0.27067,                 1.6925,                 2.2542,                 1.3789,                 1.1655,              0.0018713,              0.0018713,              0.0018713
                     28,                 1.7358,                 2.3946,                 1.4767,                 1.1821,                0.59187,                0.59563,                 0.5961,                 0.2897,                 0.6061,                0.60228,                 0.6106,                0.28651,                 1.7118,                 2.2393,                 1.3625,                 1.1692,              0.0018663,              0.0018663,              0.0018663
                     29,                 1.7316,                 2.3829,                 1.4721,                 1.1801,                0.61648,                0.60168,                0.61712,                0.30009,                0.62581,                0.61078,                0.62781,                0.28429,                 1.6478,                 2.2532,                 1.3458,                 1.1541,              0.0018614,              0.0018614,              0.0018614
                     30,                 1.7383,                 2.3989,                 1.4874,                 1.1813,                0.60488,                0.59415,                0.60315,                0.29896,                0.62811,                0.58569,                0.61289,                0.28147,                 1.6327,                 2.2002,                 1.3571,                 1.1365,              0.0018564,              0.0018564,              0.0018564
                     31,                 1.7287,                 2.3773,                 1.4687,                 1.1753,                0.61068,                0.60683,                0.61794,                0.30978,                0.62474,                0.61886,                0.63204,                0.29387,                 1.6231,                 2.2043,                 1.3345,                 1.1371,              0.0018515,              0.0018515,              0.0018515
                     32,                 1.7193,                 2.3774,                  1.473,                 1.1719,                 0.6077,                0.60293,                0.61682,                 0.2997,                0.61494,                0.60763,                0.62333,                0.27826,                 1.6606,                  2.292,                 1.3382,                 1.1419,              0.0018465,              0.0018465,              0.0018465
                     33,                 1.7265,                 2.3508,                 1.4585,                 1.1704,                0.59694,                0.61072,                0.61121,                0.30686,                0.60645,                 0.6164,                0.62073,                0.28197,                 1.6236,                 2.2413,                  1.324,                  1.132,              0.0018416,              0.0018416,              0.0018416
                     34,                 1.7224,                 2.3646,                 1.4667,                 1.1802,                0.59769,                    0.6,                0.59973,                0.28086,                0.62306,                0.62049,                0.63435,                0.29725,                  1.729,                 2.1293,                 1.3432,                 1.1663,              0.0018367,              0.0018367,              0.0018367
                     35,                 1.7206,                 2.3614,                 1.4624,                 1.1733,                0.60518,                0.61984,                0.62093,                0.30174,                0.62135,                0.62667,                0.63698,                0.29996,                  1.678,                 2.1865,                 1.3411,                 1.1437,              0.0018317,              0.0018317,              0.0018317
                     36,                 1.7247,                 2.3591,                 1.4677,                 1.1685,                0.62401,                  0.591,                0.61859,                0.30655,                0.63187,                0.59447,                0.62635,                0.27574,                  1.633,                 2.2842,                 1.3674,                 1.1331,              0.0018267,              0.0018267,              0.0018267
                     37,                  1.723,                 2.3427,                 1.4511,                 1.1739,                0.60551,                0.62049,                0.62901,                0.30576,                0.62138,                0.63675,                0.64982,                0.29718,                 1.6914,                 2.2092,                 1.3145,                 1.1508,              0.0018218,              0.0018218,              0.0018218
                     38,                 1.7166,                 2.3573,                 1.4233,                 1.1632,                0.60186,                0.61691,                0.61516,                0.30923,                0.60639,                0.61924,                0.62159,                0.28503,                 1.6303,                 2.2452,                 1.3294,                 1.1298,              0.0018168,              0.0018168,              0.0018168
                     39,                 1.6931,                 2.3567,                 1.4396,                 1.1737,                0.59644,                0.62829,                0.61877,                0.29938,                0.61262,                0.63411,                0.63563,                0.30319,                 1.6946,                 2.1352,                  1.329,                 1.1575,              0.0018119,              0.0018119,              0.0018119
                     40,                 1.6977,                 2.3453,                 1.4489,                 1.1592,                0.60277,                0.61043,                0.62109,                0.31139,                0.62356,                0.60033,                0.62653,                0.28709,                 1.6419,                 2.2628,                 1.3159,                 1.1461,              0.0018069,              0.0018069,              0.0018069
                     41,                 1.6912,                 2.3017,                 1.4249,                 1.1645,                0.62467,                0.63542,                0.64544,                0.32443,                0.63746,                0.64843,                0.66234,                0.30197,                 1.6383,                 2.2207,                 1.2881,                 1.1316,               0.001802,               0.001802,               0.001802
                     42,                 1.7126,                  2.338,                 1.4309,                 1.1695,                0.60537,                0.60612,                0.61309,                0.31112,                0.61059,                0.61626,                0.62055,                0.28197,                 1.6288,                 2.2856,                 1.3069,                 1.1362,              0.0017971,              0.0017971,              0.0017971
