                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.5047,                 2.0801,                 1.2642,                 1.2241,                0.62782,                 0.6369,                0.65021,                0.32954,                0.65817,                0.64163,                0.67408,                0.32711,                 1.6288,                 2.0982,                 1.2068,                 1.2586,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.4959,                 1.9991,                 1.2315,                 1.2083,                0.65419,                0.60715,                0.64675,                0.34344,                0.66751,                0.61951,                0.66133,                0.32036,                 1.5371,                 2.0085,                  1.208,                 1.2164,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.5229,                 2.0646,                 1.2585,                 1.2269,                0.63245,                0.62732,                0.64675,                0.33208,                0.64473,                0.64098,                0.65798,                0.31071,                 1.6477,                 2.0893,                 1.2231,                 1.2655,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.5034,                 2.0481,                 1.2336,                 1.2127,                0.61994,                0.60715,                0.62806,                 0.3303,                0.63386,                0.63223,                0.64899,                0.31765,                 1.5913,                 2.1305,                 1.2149,                 1.2481,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.4924,                 2.0106,                 1.2342,                 1.2046,                0.64507,                0.62602,                0.65731,                0.34647,                0.66137,                0.63961,                0.67276,                0.32396,                 1.5671,                 2.0177,                 1.1948,                 1.2207,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.5025,                 2.0423,                 1.2302,                 1.2105,                0.65852,                0.62588,                0.66684,                 0.3453,                0.67186,                0.63856,                0.68407,                0.33461,                 1.6153,                 2.1117,                 1.1865,                 1.2418,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.4821,                  2.021,                 1.2362,                 1.1984,                0.63475,                0.62439,                0.65257,                0.34643,                0.65587,                0.64212,                 0.6743,                0.33621,                 1.5482,                 2.0821,                 1.2216,                 1.2082,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.5014,                 2.0277,                 1.2338,                 1.2127,                0.62208,                0.60358,                0.62564,                0.33132,                0.63905,                0.61659,                0.63796,                0.30778,                  1.596,                 1.8987,                 1.2101,                 1.2219,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.4814,                 2.0395,                 1.2199,                 1.2021,                0.64832,                0.61528,                0.65669,                0.34287,                0.66785,                0.63382,                0.67846,                0.34194,                 1.5886,                 2.0802,                 1.1867,                 1.2201,               0.001703,               0.001703,               0.001703
                     32,                 1.4797,                 1.9926,                  1.208,                 1.1994,                0.66308,                 0.6013,                0.65916,                0.34766,                0.67766,                0.62537,                0.67929,                0.33527,                 1.5689,                 2.0198,                 1.2089,                 1.2135,              0.0016931,              0.0016931,              0.0016931
